iter	Passed	Remaining
601	1710	1131
602	1714	1128
603	1718	1126
604	1722	1124
605	1725	1121
606	1729	1119
607	1732	1116
608	1735	1114
609	1738	1111
610	1741	1108
611	1744	1105
612	1746	1102
613	1749	1099
614	1751	1096
615	1754	1093
616	1757	1090
617	1759	1087
618	1762	1084
619	1764	1081
620	1767	1078
621	1770	1075
622	1772	1072
623	1775	1069
624	1777	1066
625	1780	1063
626	1783	1060
627	1785	1057
628	1788	1054
629	1790	1051
630	1792	1048
631	1795	1045
632	1797	1042
633	1799	1039
634	1802	1035
635	1804	1032
636	1806	1029
637	1809	1026
638	1811	1023
639	1813	1020
640	1816	1017
641	1818	1014
642	1821	1011
643	1823	1007
644	1825	1004
645	1828	1001
646	1830	998
647	1832	995
648	1834	992
649	1837	989
650	1839	986
651	1841	983
652	1844	980
653	1846	977
654	1849	973
655	1851	970
656	1853	967
657	1856	964
658	1858	961
659	1861	958
660	1863	955
661	1865	952
662	1868	949
663	1870	946
664	1872	943
665	1875	940
666	1877	937
667	1879	934
668	1882	931
669	1884	928
670	1886	925
671	1889	922
672	1891	919
673	1894	916
674	1896	913
675	1898	910
676	1901	907
677	1904	904
678	1907	901
679	1911	899
680	1914	896
681	1918	894
682	1921	891
683	1924	889
684	1927	886
685	1931	884
686	1934	881
687	1938	878
688	1941	876
689	1944	873
690	1947	870
691	1951	868
692	1954	865
693	1958	863
694	1960	860
695	1964	858
696	1967	855
697	1971	852
698	1974	850
699	1978	847
700	1981	845
701	1984	842
702	1987	839
703	1991	837
704	1994	834
705	1998	832
706	2001	829
707	2004	826
708	2006	823
709	2010	821
710	2014	818
711	2019	816
712	2023	814
713	2026	811
714	2030	809
715	2033	806
716	2038	804
717	2041	801
718	2045	799
719	2048	796
720	2051	794
721	2055	791
722	2058	788
723	2061	785
724	2065	783
725	2068	780
726	2072	778
727	2075	775
728	2079	772
729	2082	770
730	2085	767
731	2088	764
732	2091	761
733	2093	758
734	2095	755
735	2098	752
736	2100	749
737	2103	746
738	2105	743
739	2108	740
740	2110	737
741	2112	734
742	2115	731
743	2117	728
744	2120	725
745	2122	722
746	2125	719
747	2127	716
748	2129	713
749	2132	710
750	2134	707
751	2137	704
752	2139	701
753	2141	698
754	2144	695
755	2146	692
756	2148	689
757	2151	686
758	2153	683
759	2155	680
760	2158	677
761	2160	674
762	2162	671
763	2164	668
764	2167	665
765	2169	662
766	2172	659
767	2174	656
768	2176	653
769	2179	650
770	2181	647
771	2184	645
772	2186	642
773	2188	639
774	2191	636
775	2193	633
776	2195	630
777	2198	627
778	2200	624
779	2202	621
780	2205	618
781	2207	615
782	2209	612
783	2212	609
784	2214	606
785	2216	603
786	2219	600
787	2221	597
788	2224	594
789	2226	591
790	2228	588
791	2230	585
792	2233	582
793	2235	580
794	2237	577
795	2240	574
796	2242	571
797	2245	568
798	2247	565
799	2249	562
800	2252	559
801	2254	556
802	2256	553
803	2259	550
804	2261	547
805	2263	544
806	2266	541
807	2268	539
808	2270	536
809	2273	533
810	2275	530
811	2277	527
812	2280	524
813	2282	521
814	2285	518
815	2287	515
816	2289	512
817	2292	509
818	2294	507
819	2297	504
820	2299	501
821	2302	498
822	2304	495
823	2307	492
824	2310	490
825	2313	487
826	2316	484
827	2318	481
828	2321	478
829	2324	476
830	2327	473
831	2330	470
832	2332	467
833	2335	464
834	2338	462
835	2340	459
836	2343	456
837	2346	453
838	2349	450
839	2351	447
840	2354	445
841	2357	442
842	2360	439
843	2362	436
844	2365	433
845	2368	431
846	2371	428
847	2373	425
848	2376	422
849	2379	419
850	2382	417
851	2384	414
852	2387	411
853	2390	408
854	2393	405
855	2395	403
856	2397	400
857	2400	397
858	2402	394
859	2405	391
